2025/06/25 10:26更新,#genre#
虚情的爱,https://vd2.bdstatic.com/mda-mi1dd05gmhwejdwn/sc/cae_h264/1630576203346678103/mda-mi1dd05gmhwejdwn.mp4
港澳A组,#genre#
6月25日13:00_NBA未来之星邀请赛_未来之星邀请赛中国清华大学附属中学vs印度尼西亚禧年学校,https://migu.188766.xyz/play?migutoken=d8f497eed280e8eec1ce6fd3bace45cf&id=dnQIKODgc4UwA1VCIx3bsYpXCKz8DrFDdc7Wkjg59XaTT164X2YqiKNpY7kyahmWO%2BoX8zEUpzdCXSjQBhFmYQrQtpeybhJAf3l1%2BgFQFyWpCMEIKJ7i8T%2BRFg%2BrocVF1X%2FgrA5IO%2BcObRP%2Fyco%2F20geE4u1E5yHk1SQpKZJFzJ6JFzzjt1PqfGlgiz4yFPD7jwmHosoVXWgiwCXTCzjU7BRO65zARw%2FjsR0e0taEUJAQhFQ7b3DYaMf%2Bupj1%2FRYqtZzn7JVjxHLNsUCB8aImgXhPmp%2BHh4dN%2FHAMAbHoNIttfXn3whivv1%2B0jgXEe3hYBOl064J91Hjlt1mDD8NdwmcpQj7%2FEsbbOR1SXwLVlX%2F8IZu7HVniUPEtiOaB%2FRvo4fIlsHPlUkKJZ6VQHKUL9sJZoCwOlbf0wgJuauoSrCaH7M0SQg%2BJqW4z3ADqn6hkivIxpwCQhigcbcJb%2Fbw%2F30OcopFYvHHUam%2FBRNtYgMxV3Xh3n9nqoOGnCgyxbL3cBSP9eFItibPF60Stes%2FZPxkDL42uUHlKXpjEQAJe%2F4eRDHtONYtegKQ1CePwygpetxonBpV3%2F5f8AZYnPooJ%2BAYlhr6Pn8X1WbeQUDJ8UAXN4qSKzCxxdToIlS%2Bvi1T6DG%2Bj7Axamg6xYHjca%2BAygllD%2B9VH0orvx%2FJIvFz0cN6iFJ7CJqadLxHOqIJUgPWNmXCN6QDJlaMGGkoKwT6Prv465gmX8ApaKk0sby1FmAKPO2%2Fu%2Fp6JXFpuXtFYrzzR1j8UihUICa1jvGfdV%2FWyGwSdFarOE%2FHahXub9yb239PUXzOpEkLnmHAfyGtb9MOxhvxhinHR56JQZAJT5regGqLGM4XybPTy7wJHYSfqZ0fTQdKwP17NoQ2pSrln7GSXMDWbmivW4A85pogms8S96eTN3ZmRkNPK%2FKzGphGlRc%2Fs8Wc53g1D0zBpw6Cd64NNwwMG6CIdsSKUyOPR0npeKqflNdlx5cYVRZXKutmz5E6QycSvbGei05o%2B1D2NDnDw8Wy15Km1Z1rx5j4erNNOukLx58Y0Zbd5Tc09v4QuC4700gX0arVUNeaPUkRDf7Kx0pOL6kmGng1kG%2BebyUyubnQHCYgbHt8ZoLwjfXZg6HkdZZnC93%2BTMw%2F2Nz84M2PlO1RPGayUpAHKmXsI8bSwc9vUzwN0BAo76CAMx%2BpnEzw822MTxUos5njfn8NlPDEXz71lkLpNR3Z5TJ%2FKoSoUrWxgY7tHhayas2QJbLoPoV%2FPHY25DBa4sksU1E%2BU1UN%2BqyDpXKixrucFsLOTgVikyC%2FFwsYOEz7sRuNMZzMypdTWRzeiLnEktxTa28VhQtYgbwcd5pBeB1hogsmpDeSUXyhBQwEBOaEiF2FIX7%2B3fNszOfk6SVIsHIUgmd%2B5uMx%2BkzeGOFpAFghjF3dEEkxBg%3D%3D&name=p5uvSLD8rs4ON0F%2BWlz0ZN%2Bt2SZQtsURT%2FUuHjgb9Bs%2FwL7tkmXVMAMbtE2me%2BcSLbPfjeZ6QkiSWhyzkgRqVDWFSvYedOpiH3%2ByCebWCpzVVXixPGp4WMv5PDal%2FPuQAeNcGgiCeBcMaAy8SWSyXdkKjj30MQfbkA7aEfperGbL8%2Be7OMhVrnqT%2F5zMAsXT

港澳B组,#genre#
AMC最爱电影,https://hls-gateway.vpstv.net/streams/708906.m3u8
AMC,https://hls-gateway.vpstv.net/streams/477058.m3u8
AXN亚洲,https://hls-gateway.vpstv.net/streams/476299.m3u8
AXN壹湾,https://hls-gateway.vpstv.net/streams/476296.m3u8
AXN,https://hls-gateway.vpstv.net/streams/476871.m3u8
AXN,https://hls-gateway.vpstv.net/streams/477730.m3u8
AXN,https://hls-gateway.vpstv.net/streams/602163.m3u8
AXN,https://hls-gateway.vpstv.net/streams/709502.m3u8
CCM天映经典,https://hls-gateway.vpstv.net/streams/476310.m3u8
ELTA影剧,https://hls-gateway.vpstv.net/streams/476282.m3u8
EYE戏剧,https://hls-gateway.vpstv.net/streams/476287.m3u8
TVB功夫,https://hls-gateway.vpstv.net/streams/476226.m3u8
TVB华语,https://hls-gateway.vpstv.net/streams/708892.m3u8
TVB华语,https://hls-gateway.vpstv.net/streams/709492.m3u8
TVB经典,https://hls-gateway.vpstv.net/streams/708898.m3u8
TVB娱乐新闻,https://hls-gateway.vpstv.net/streams/708904.m3u8
TVB粤语片,https://hls-gateway.vpstv.net/streams/476225.m3u8
TVB1,https://hls-gateway.vpstv.net/streams/476199.m3u8
TVB1,https://hls-gateway.vpstv.net/streams/709593.m3u8
TVB88,https://hls-gateway.vpstv.net/streams/709540.m3u8
TVBCLASSIC经典,https://hls-gateway.vpstv.net/streams/476210.m3u8
TVBDRAMA,https://hls-gateway.vpstv.net/streams/709427.m3u8
TVBE,https://hls-gateway.vpstv.net/streams/709590.m3u8
TVBENEWS,https://hls-gateway.vpstv.net/streams/709113.m3u8
TVBJ1,https://hls-gateway.vpstv.net/streams/709490.m3u8
TVBJ1,https://hls-gateway.vpstv.net/streams/709591.m3u8
TVBJade翡翠,https://hls-gateway.vpstv.net/streams/709380.m3u8
TVBJade,https://hls-gateway.vpstv.net/streams/709022.m3u8
TVBJade,https://hls-gateway.vpstv.net/streams/709525.m3u8
TVBNEWS,https://hls-gateway.vpstv.net/streams/709594.m3u8
TVBNews,https://hls-gateway.vpstv.net/streams/708884.m3u8
TVBNews,https://hls-gateway.vpstv.net/streams/709112.m3u8
TVBPEARRAMA,https://hls-gateway.vpstv.net/streams/709592.m3u8
TVBPlUS+,https://hls-gateway.vpstv.net/streams/476932.m3u8
TVBS欢乐,https://hls-gateway.vpstv.net/streams/477068.m3u8
TVBS精彩,https://hls-gateway.vpstv.net/streams/477075.m3u8
TVBS台剧,https://hls-gateway.vpstv.net/streams/708956.m3u8
TVBS新闻,https://hls-gateway.vpstv.net/streams/708927.m3u8
TVBS综合,https://hls-gateway.vpstv.net/streams/477042.m3u8
TVBS综艺,https://hls-gateway.vpstv.net/streams/708955.m3u8
TVBS,https://hls-gateway.vpstv.net/streams/708925.m3u8
TVBSASIA,https://hls-gateway.vpstv.net/streams/709111.m3u8
TVBSASIA,https://hls-gateway.vpstv.net/streams/709524.m3u8
TVBSNews,https://hls-gateway.vpstv.net/streams/709562.m3u8
TVBSUPERFREE,https://hls-gateway.vpstv.net/streams/709446.m3u8
TVBXINGHE星河,https://hls-gateway.vpstv.net/streams/476993.m3u8
TVBXingHe,https://hls-gateway.vpstv.net/streams/709526.m3u8
八大第1台,https://hls-gateway.vpstv.net/streams/477071.m3u8
八大精彩,https://hls-gateway.vpstv.net/streams/477035.m3u8
八大戏剧台,https://hls-gateway.vpstv.net/streams/488934.m3u8
八大娱乐台,https://hls-gateway.vpstv.net/streams/477064.m3u8
八大综合台,https://hls-gateway.vpstv.net/streams/477069.m3u8
大爱电视,https://hls-gateway.vpstv.net/streams/477082.m3u8
大爱二台,https://hls-gateway.vpstv.net/streams/493133.m3u8
东森财经新闻,https://hls-gateway.vpstv.net/streams/477062.m3u8
东森超视,https://hls-gateway.vpstv.net/streams/476234.m3u8
东森电影,https://hls-gateway.vpstv.net/streams/476995.m3u8
东森戏剧,https://hls-gateway.vpstv.net/streams/476994.m3u8
东森新闻,https://hls-gateway.vpstv.net/streams/476998.m3u8
东森亚洲卫视,https://hls-gateway.vpstv.net/streams/476264.m3u8
东森洋片,https://hls-gateway.vpstv.net/streams/476997.m3u8
东森幼幼,https://hls-gateway.vpstv.net/streams/476246.m3u8
东森综合,https://hls-gateway.vpstv.net/streams/476987.m3u8
凤凰资讯,https://hls-gateway.vpstv.net/streams/476958.m3u8
公视,https://hls-gateway.vpstv.net/streams/476984.m3u8
公视2,https://hls-gateway.vpstv.net/streams/708888.m3u8
公视三台,https://hls-gateway.vpstv.net/streams/493131.m3u8
公视台语,https://hls-gateway.vpstv.net/streams/476235.m3u8
公视戏剧,https://hls-gateway.vpstv.net/streams/476298.m3u8
华视,https://hls-gateway.vpstv.net/streams/476985.m3u8
华视体育文化教育,https://hls-gateway.vpstv.net/streams/708890.m3u8
华视新闻,https://hls-gateway.vpstv.net/streams/476266.m3u8
寰宇财经,https://hls-gateway.vpstv.net/streams/488994.m3u8
寰宇新闻,https://hls-gateway.vpstv.net/streams/476270.m3u8
寰宇新闻台湾,https://hls-gateway.vpstv.net/streams/708931.m3u8
靖天,https://hls-gateway.vpstv.net/streams/476254.m3u8
靖天电影,https://hls-gateway.vpstv.net/streams/476290.m3u8
靖天欢乐,https://hls-gateway.vpstv.net/streams/476253.m3u8
靖天卡通,https://hls-gateway.vpstv.net/streams/476249.m3u8
靖天日本,https://hls-gateway.vpstv.net/streams/476256.m3u8
靖天映画,https://hls-gateway.vpstv.net/streams/476302.m3u8
靖天育乐,https://hls-gateway.vpstv.net/streams/481789.m3u8
靖天资讯,https://hls-gateway.vpstv.net/streams/476258.m3u8
靖天综合,https://hls-gateway.vpstv.net/streams/476259.m3u8
靖洋卡通,https://hls-gateway.vpstv.net/streams/476248.m3u8
靖洋戏剧,https://hls-gateway.vpstv.net/streams/476285.m3u8
龙华电影,https://hls-gateway.vpstv.net/streams/476300.m3u8
龙华动画,https://hls-gateway.vpstv.net/streams/493135.m3u8
龙华经典,https://hls-gateway.vpstv.net/streams/476294.m3u8
龙华偶像,https://hls-gateway.vpstv.net/streams/708930.m3u8
龙华日韩,https://hls-gateway.vpstv.net/streams/476231.m3u8
龙华戏剧,https://hls-gateway.vpstv.net/streams/476293.m3u8
龙华洋片,https://hls-gateway.vpstv.net/streams/477076.m3u8
龙祥时代,https://hls-gateway.vpstv.net/streams/476295.m3u8
美亚电影,https://hls-gateway.vpstv.net/streams/708901.m3u8
美亚电影,https://hls-gateway.vpstv.net/streams/709286.m3u8
美亚电影台国语,https://hls-gateway.vpstv.net/streams/477078.m3u8
美亚电影台粤语,https://hls-gateway.vpstv.net/streams/476212.m3u8
民视,https://hls-gateway.vpstv.net/streams/476986.m3u8
民视第一台,https://hls-gateway.vpstv.net/streams/476243.m3u8
民视旅游,https://hls-gateway.vpstv.net/streams/476240.m3u8
民视台湾台,https://hls-gateway.vpstv.net/streams/476244.m3u8
民视戏剧,https://hls-gateway.vpstv.net/streams/708947.m3u8
民视新闻,https://hls-gateway.vpstv.net/streams/479210.m3u8
人间卫视,https://hls-gateway.vpstv.net/streams/488957.m3u8
三立财经新闻,https://hls-gateway.vpstv.net/streams/488992.m3u8
三立都会台,https://hls-gateway.vpstv.net/streams/476232.m3u8
三立台湾台,https://hls-gateway.vpstv.net/streams/477050.m3u8
三立戏剧,https://hls-gateway.vpstv.net/streams/476288.m3u8
三立新闻,https://hls-gateway.vpstv.net/streams/492922.m3u8
数位影迷纪实,https://hls-gateway.vpstv.net/streams/708908.m3u8
台视,https://hls-gateway.vpstv.net/streams/476982.m3u8
台视财经,https://hls-gateway.vpstv.net/streams/476271.m3u8
台视新闻,https://hls-gateway.vpstv.net/streams/476268.m3u8
台视综合,https://hls-gateway.vpstv.net/streams/708885.m3u8
台湾番薯电视,https://hls-gateway.vpstv.net/streams/495096.m3u8
天映,https://hls-gateway.vpstv.net/streams/636710.m3u8
天映经典,https://hls-gateway.vpstv.net/streams/709488.m3u8
纬来电影,https://hls-gateway.vpstv.net/streams/477063.m3u8
纬来精彩,https://hls-gateway.vpstv.net/streams/476286.m3u8
纬来日本,https://hls-gateway.vpstv.net/streams/477039.m3u8
纬来体育,https://hls-gateway.vpstv.net/streams/477026.m3u8
